Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
57021127,Portrait of a Thief,Grace D. Li,"Li, Grace D.",,"=""0593184734""","=""9780593184738""",4.0,Tiny Reparations Books,Hardcover,375,2022,2022,2026/06/12,2022/04/20,,,read,,,,1,0
16297,"Cards on the Table (Hercule Poirot, #15)",Agatha Christie,"Christie, Agatha",,"=""0425205959""","=""9780425205952""",4.0,Berkley,Mass Market Paperback,324,2005,1936,2026/06/04,2023/06/15,,,read,,,,1,0
52649899,Wild Women and the Blues,Denny S.  Bryce,"Bryce, Denny S.",,"=""1496730089""","=""9781496730084""",3.0,Kensington,Paperback,352,2021,2021,2026/06/02,2021/06/28,,,read,,,,1,0
14028,Snow Country,Yasunari Kawabata,"Kawabata, Yasunari",Edward G. Seidensticker,"=""0679761047""","=""9780679761044""",4.0,Vintage,Paperback,175,1996,1948,2026/05/29,2022/12/17,,,read,,,,1,0
52857700,"House of Flame and Shadow (Crescent City, #3)",Sarah J. Maas,"Maas, Sarah J.",,"=""1681193094""","=""9781681193090""",5.0,Bloomsbury Publishing,ebook,835,2024,2024,2026/05/27,2025/12/29,,,read,,,,1,0
40132775,"House of Sky and Breath (Crescent City, #2)",Sarah J. Maas,"Maas, Sarah J.",,"=""1408884429""","=""9781408884423""",4.0,Bloomsbury Publishing,Hardcover,805,2022,2022,2026/05/24,2025/12/29,,,read,,,,1,0
840394,The Quick & Easy Way to Effective Speaking,Dale Carnegie,"Carnegie, Dale",,"=""2296023576""","=""9782296023574""",3.0,,Paperback,296,1962,1962,2026/05/21,2026/05/17,,,read,,,,1,0
181344829,"Bride (Bride, #1)",Ali Hazelwood,"Hazelwood, Ali",,"=""""","=""""",2.0,Berkley,Kindle Edition,410,2024,2024,2026/05/19,2026/04/28,,,read,,,,1,0
34490875,The Rome Affair,Karen Swan,"Swan, Karen",,"=""1509838015""","=""9781509838011""",3.0,Pan Macmillan,Paperback,400,2017,2017,2026/05/17,2024/12/30,,,read,,,,1,0
137404637,Il Principe,Niccolò Machiavelli,"Machiavelli, Niccolò",,"=""1015451373""","=""9781015451377""",3.0,Legare Street Press,Hardcover,204,2022,1513,2026/05/12,2026/05/11,,,read,,,,1,0
61126612,Alone With You in the Ether,Olivie Blake,"Blake, Olivie",,"=""1250888166""","=""9781250888167""",4.0,Tor Books,Hardcover,288,2022,2020,2026/05/10,2023/06/16,,,read,,,,1,0
247449391,Sweetbitter Song,Rosie Hewlett,"Hewlett, Rosie",,"=""178763731X""","=""9781787637313""",5.0,Bantam,Hardcover,486,2026,2026,2026/05/07,2026/05/04,,,read,,,,1,0
59151,Chess Story,Stefan Zweig,"Zweig, Stefan","Peter Gay, Joel Rotenberg, Стефан Цвайг","=""1590171691""","=""9781590171691""",4.0,NYRB Classics,Paperback,104,2005,1942,2026/05/04,2026/05/04,,,read,,,,1,0
991197,The Complete Persepolis,Marjane Satrapi,"Satrapi, Marjane",,"=""0375714839""","=""9780375714832""",4.0,Pantheon Books,Paperback,341,2007,2007,2026/05/04,2019/11/12,,,read,,,,1,0
